rule,param,live,demo,n_stop,elapsed_s,time_saved_s,dev_pos_mm,dev_rot_deg,abs_pos_mm,abs_rot_deg,failed
time,0.3,pick_up_mug_002,pick_up_mug_007,54,0.3018,2.7003,0.0,0.0,572.9422,54.3083,0
time,0.3,pick_up_mug_002,pick_up_mug_008,22,0.3162,2.6911,26.7588,2.5856,636.5292,62.3995,0
time,0.3,pick_up_mug_003,pick_up_mug_001,21,0.314,2.6906,17.9902,1.6301,704.9152,67.9725,0
time,0.3,pick_up_mug_003,pick_up_mug_002,52,0.3013,2.7004,1.0711,0.0871,120.5291,12.8555,0
time,0.3,pick_up_mug_003,pick_up_mug_004,47,0.3055,2.6971,43.3796,3.9539,536.4623,53.2755,0
time,0.3,pick_up_mug_003,pick_up_mug_005,29,0.3072,2.6986,0.0,0.0,857.2575,89.4948,0
time,0.3,pick_up_mug_003,pick_up_mug_006,30,0.3023,2.7005,12.6729,1.168,180.8867,16.833,0
time,0.3,pick_up_mug_003,pick_up_mug_007,43,0.3056,2.695,0.0,0.0,685.4008,66.8602,0
time,0.3,pick_up_mug_003,pick_up_mug_008,23,0.3117,2.6912,18.0602,1.6664,723.5433,72.1585,0
time,0.3,pick_up_mug_004,pick_up_mug_001,22,0.3081,2.7007,0.0,0.0,999.9678,117.419,0
time,0.3,pick_up_mug_004,pick_up_mug_002,43,0.3046,2.6994,0.0,0.0,624.4403,66.7002,0
time,0.3,pick_up_mug_004,pick_up_mug_003,42,0.3045,2.6984,0.1076,0.0128,522.9085,54.4078,0
time,0.3,pick_up_mug_004,pick_up_mug_005,28,0.3115,2.6927,0.0,0.0,371.0179,35.7902,0
time,0.3,pick_up_mug_004,pick_up_mug_006,25,0.3097,2.6934,5.4808,0.4689,742.9381,82.109,0
time,0.3,pick_up_mug_004,pick_up_mug_007,45,0.303,2.7007,0.6532,0.0675,1026.8936,120.2879,0
time,0.3,pick_up_mug_004,pick_up_mug_008,23,0.3109,2.6992,29.7584,2.8777,1065.4845,128.5199,0
time,0.3,pick_up_mug_005,pick_up_mug_001,21,0.3137,2.6869,0.9449,0.0899,1063.0717,144.2843,0
time,0.3,pick_up_mug_005,pick_up_mug_002,30,0.3018,2.6989,5.8187,0.6731,815.9954,94.52,0
time,0.3,pick_up_mug_005,pick_up_mug_003,31,0.3016,2.7062,4.7336,0.4784,762.3289,86.1525,0
time,0.3,pick_up_mug_005,pick_up_mug_004,42,0.3055,2.7073,0.0,0.0,351.2838,35.2837,0
time,0.3,pick_up_mug_005,pick_up_mug_006,24,0.3024,2.7052,0.8871,0.089,944.0912,119.4456,0
time,0.3,pick_up_mug_005,pick_up_mug_007,31,0.3039,2.6981,3.1796,0.3958,1095.9869,149.1289,0
time,0.3,pick_up_mug_005,pick_up_mug_008,24,0.3066,2.7006,0.0279,0.0045,1106.0169,151.6915,0
time,0.3,pick_up_mug_006,pick_up_mug_001,22,0.3114,2.6892,1.9497,0.1963,537.1623,56.4967,0
time,0.3,pick_up_mug_006,pick_up_mug_002,39,0.3022,2.7016,0.0,0.0,68.8563,4.9759,0
time,0.3,pick_up_mug_006,pick_up_mug_003,33,0.3064,2.7069,27.5745,2.7024,89.385,9.034,0
time,0.3,pick_up_mug_006,pick_up_mug_004,33,0.3022,2.7017,8.2454,0.7483,606.5955,70.3791,0
time,0.3,pick_up_mug_006,pick_up_mug_005,23,0.3093,2.6989,23.0888,2.2943,879.2431,110.0287,0
time,0.3,pick_up_mug_006,pick_up_mug_007,37,0.3045,2.7039,33.3781,3.0705,586.1857,63.3011,0
time,0.3,pick_up_mug_006,pick_up_mug_008,19,0.314,2.6875,14.3779,1.5259,648.224,72.3138,0
time,0.3,pick_up_mug_007,pick_up_mug_001,19,0.3143,2.6927,0.288,0.0345,36.7929,3.9697,0
time,0.3,pick_up_mug_007,pick_up_mug_002,34,0.3047,2.6972,0.3787,0.0903,527.8624,53.9355,0
time,0.3,pick_up_mug_007,pick_up_mug_003,39,0.3015,2.6986,0.0445,0.0073,613.5919,66.641,0
time,0.3,pick_up_mug_007,pick_up_mug_004,44,0.3033,2.6968,4.6794,0.7847,959.9784,119.8436,0
time,0.3,pick_up_mug_007,pick_up_mug_005,22,0.3072,2.7063,0.0,0.0,1095.0313,160.6024,0
time,0.3,pick_up_mug_007,pick_up_mug_006,33,0.303,2.6978,0.0,0.0,529.416,58.1882,0
time,0.3,pick_up_mug_007,pick_up_mug_008,25,0.3061,2.6939,48.0583,5.0831,244.6485,27.4308,0
time,0.3,pick_up_mug_008,pick_up_mug_001,28,0.3046,2.7021,6.0026,0.5129,185.973,13.02,0
time,0.3,pick_up_mug_008,pick_up_mug_002,32,0.3049,2.6983,3.2335,0.3309,629.3691,62.4909,0
time,0.3,pick_up_mug_008,pick_up_mug_003,32,0.3103,2.6948,0.0,0.0,715.7155,74.9049,0
time,0.3,pick_up_mug_008,pick_up_mug_004,31,0.3004,2.7008,32.2836,3.0397,1066.4109,128.6391,0
time,0.3,pick_up_mug_008,pick_up_mug_005,24,0.3057,2.7007,16.1008,1.5576,1185.8448,169.2355,0
time,0.3,pick_up_mug_008,pick_up_mug_006,25,0.3102,2.705,22.2885,2.1442,604.6651,63.8104,0
time,0.3,pick_up_mug_008,pick_up_mug_007,32,0.302,2.7,0.0,0.0,178.1164,18.9693,0
time,0.5,pick_up_mug_001,pick_up_mug_002,67,0.504,2.506,0.0,0.0,291.5083,31.8199,0
time,0.5,pick_up_mug_001,pick_up_mug_003,62,0.5091,2.5011,39.3136,4.6521,319.244,38.296,0
time,0.5,pick_up_mug_001,pick_up_mug_004,67,0.504,2.5011,0.2497,0.0296,691.9397,96.835,0
time,0.5,pick_up_mug_001,pick_up_mug_005,38,0.5044,2.5031,13.7994,1.6509,824.4653,126.4546,0
time,0.5,pick_up_mug_001,pick_up_mug_006,46,0.5067,2.5035,16.4474,1.907,222.2243,27.0666,0
time,0.5,pick_up_mug_001,pick_up_mug_007,56,0.5052,2.4963,1.1364,0.1327,218.1788,28.8713,0
time,0.5,pick_up_mug_001,pick_up_mug_008,37,0.5014,2.4992,0.0,0.0,180.3799,19.248,0
time,0.5,pick_up_mug_002,pick_up_mug_001,35,0.5051,2.498,18.6403,1.7455,596.8584,55.3831,0
time,0.5,pick_up_mug_002,pick_up_mug_003,84,0.5032,2.4985,0.0,0.0,114.7661,12.63,0
time,0.5,pick_up_mug_002,pick_up_mug_004,87,0.5038,2.5001,19.5115,1.8112,628.6043,66.0147,0
time,0.5,pick_up_mug_002,pick_up_mug_005,46,0.5009,2.5001,6.3394,0.6348,934.8709,104.4824,0
time,0.5,pick_up_mug_002,pick_up_mug_006,66,0.5029,2.5,45.8442,4.3592,95.4639,8.558,0
time,0.5,pick_up_mug_002,pick_up_mug_007,89,0.5057,2.4965,0.0,0.0,572.9422,54.3083,0
time,0.5,pick_up_mug_002,pick_up_mug_008,35,0.5098,2.4975,26.7627,2.586,636.5324,62.3998,0
time,0.5,pick_up_mug_003,pick_up_mug_001,34,0.5009,2.5037,17.9902,1.6301,704.9152,67.9725,0
time,0.5,pick_up_mug_003,pick_up_mug_002,89,0.5035,2.4982,0.0,0.0,120.6554,12.8697,0
time,0.5,pick_up_mug_003,pick_up_mug_004,79,0.5064,2.4962,43.3798,3.954,536.4622,53.2755,0
time,0.5,pick_up_mug_003,pick_up_mug_005,49,0.5022,2.5037,0.0,0.0,857.2575,89.4948,0
time,0.5,pick_up_mug_003,pick_up_mug_006,53,0.5041,2.4987,12.6729,1.168,180.8867,16.833,0
time,0.5,pick_up_mug_003,pick_up_mug_007,73,0.5035,2.4971,0.0,0.0,685.4008,66.8602,0
time,0.5,pick_up_mug_003,pick_up_mug_008,37,0.5051,2.4978,18.0602,1.6664,723.5433,72.1585,0
time,0.5,pick_up_mug_004,pick_up_mug_001,37,0.5062,2.5027,0.0,0.0,999.9678,117.419,0
time,0.5,pick_up_mug_004,pick_up_mug_002,73,0.5059,2.498,0.0,0.0,624.4403,66.7002,0
time,0.5,pick_up_mug_004,pick_up_mug_003,72,0.5044,2.4985,0.1076,0.0128,522.9085,54.4078,0
time,0.5,pick_up_mug_004,pick_up_mug_005,45,0.5093,2.4949,0.0,0.0,371.0179,35.7902,0
time,0.5,pick_up_mug_004,pick_up_mug_006,41,0.5018,2.5012,5.4808,0.4689,742.9381,82.109,0
time,0.5,pick_up_mug_004,pick_up_mug_007,72,0.5013,2.5024,1.3395,0.1299,1027.8168,120.4787,0
time,0.5,pick_up_mug_004,pick_up_mug_008,39,0.5133,2.4968,29.7627,2.8781,1065.4867,128.5203,0
time,0.5,pick_up_mug_005,pick_up_mug_001,34,0.5113,2.4893,0.9421,0.0896,1063.0727,144.2846,0
time,0.5,pick_up_mug_005,pick_up_mug_002,50,0.5056,2.4951,5.8187,0.6731,815.9954,94.52,0
time,0.5,pick_up_mug_005,pick_up_mug_003,51,0.504,2.5038,0.6483,0.0647,765.2278,86.5572,0
time,0.5,pick_up_mug_005,pick_up_mug_004,70,0.5039,2.5089,0.0,0.0,351.2838,35.2837,0
time,0.5,pick_up_mug_005,pick_up_mug_006,41,0.5144,2.4932,0.8871,0.089,944.0912,119.4456,0
time,0.5,pick_up_mug_005,pick_up_mug_007,53,0.5101,2.4919,0.0,0.0,1095.277,148.8504,0
time,0.5,pick_up_mug_005,pick_up_mug_008,39,0.5025,2.5047,0.0279,0.0045,1106.0169,151.6915,0
time,0.5,pick_up_mug_006,pick_up_mug_001,36,0.5062,2.4944,1.9497,0.1963,537.1623,56.4967,0
time,0.5,pick_up_mug_006,pick_up_mug_002,61,0.507,2.4968,0.0,0.0,68.8563,4.9759,0
time,0.5,pick_up_mug_006,pick_up_mug_003,54,0.5117,2.5016,26.3594,2.5807,90.3926,9.1545,0
time,0.5,pick_up_mug_006,pick_up_mug_004,55,0.5034,2.5006,8.2781,0.7514,606.5759,70.3768,0
time,0.5,pick_up_mug_006,pick_up_mug_005,38,0.5058,2.5024,23.0888,2.2943,879.2431,110.0287,0
time,0.5,pick_up_mug_006,pick_up_mug_007,61,0.5068,2.5016,34.3048,3.1571,586.6049,63.3687,0
time,0.5,pick_up_mug_006,pick_up_mug_008,30,0.5037,2.4977,14.3779,1.5259,648.224,72.3138,0
time,0.5,pick_up_mug_007,pick_up_mug_001,31,0.5122,2.4948,0.288,0.0345,36.7929,3.9697,0
time,0.5,pick_up_mug_007,pick_up_mug_002,59,0.5023,2.4995,0.3787,0.0903,527.8624,53.9355,0
time,0.5,pick_up_mug_007,pick_up_mug_003,66,0.5055,2.4946,0.1265,0.0154,613.5604,66.6374,0
